,MSE,MAE,RMSE
LSTM,0.0014551419986713336,0.024750116244754445,0.03814632352758695
GRU,0.0014795342844970889,0.024732717956579876,0.03846471479807291
CNNGRU,0.0015369135549311494,0.025171280341107834,0.03920348906578532
